ID	Shop	Category	Comments		Category	Explain on Primairy Category	Explain on Secondary Category
1	Level 1	Normal Shop			AC Shop	Shop containing Only AC items, permanently placed in game.	Besides its primary category this shop Only contains AC items.
2	Class Tokens	Broken Shop			Badge shop	Shop that is unlocked in the Book of Lore at Achievement or Other Badges.	N/A (Badge shop label is always primairy)
3	Level 3	Normal Shop			Broken Shop	This shop is taken out game and can not be loaded anymore.	N/A (Broken label is always primairy)
4	Level 5	Normal Shop			Enhancement Shop	Shop containing Enhancements, permanently placed in game on an NPC or game menu.	Besides its primary category this shop Only contains Enhancements
5	Beta Shop	Badge Shop			Guild Shop	This shop contains guild items	N/A (Guild label is always primary)
6	WarpForce Shop	Rare Shop			House Shop	Shop containing Only house items, permanently placed in game.	Besides its primary category this shop Only contains House items
7	Staff Shop	Staff Shop			Item Shop	Shop that is Only load-able or unlockable by owning/equipping a certain item.	Besides its primary category this shop is Only unlockable via an item.
8	Helm Shop	Normal Shop			Member Shop	Shop containing Only Member items, permanently placed in game.	Besides its primary category this shop is Only containing member items.
9	PirateShop	Normal Shop			Merge Shop	This shop solely contains merge-items, and is permanently available in game.	Besides its primary category this shop Only contains merge items.
10	Legend Only	Member Shop			No Shop	This shop ID is empty, don't keep trying.	N/A (No shop label is always primary)
11	AdventureCoin Shop	AC Shop			Normal Shop	This shop is still in-game and does contain both non-member and/or member and/or AC items.	N/A (Normal shop label is always primary)
12	Aria's Pet Shop	Member Shop			Preview Shop	This shop Only contains item previews might have gone rare over time.	N/A (Preview shop is always primary)
13	Warlic's Shop	Normal Shop			Promo Shop	Shop that is unlocked in the Book of Lore at HeroMart Badges.	N/A (Promo shop is always primary)
14	Mogloween Legend	Seasonal Shop			Rare Shop	This shop is/or will be rare and not in-game anymore but can still be accessed by staff.	N/A (Rare shop label is always primary,)
15	Dwakel	Staff Shop			Reputation Shop	This shop Only or mainly contains items that are buyable at owning certain reputation for a faction.	Besides its primary category this shop Only contains reputation bound items.
16	Free Player Shop	Normal Shop			Seasonal Shop	This shop is Only in-game for a certain amount of time each year.	N/A (seasonal shop label is always primary)
17	Warrior	Broken Shop			Staff Shop	This shop is Only for game staff.	N/A (Staff Shop label is always primary)
18	Rogue	Broken Shop			Additional Comments		
19	Healer	Broken Shop			LQS	This is or was a Limited Time shop.	
